,classifer_name,accuracy,precision,recall
0,LogisticRegression,0.8920251657881313,0.7142857142857143,0.34375
1,RandomForestClassifier,0.888794422717225,0.8201754385964912,0.23375
2,AdaBoostClassifier,0.891174970243156,0.75,0.3
3,GradientBoostingClassifier,0.8944057133140623,0.7289002557544757,0.35625
4,XGBClassifier,0.8950858697500426,0.7389033942558747,0.35375
